Date,Open,High,Low,Close,Adj Close,Volume,Stock
2018-04-02,70.880997,71.068001,67.75,68.599503,68.599503,209272000,AMZN
2018-04-03,69.569,70.699997,67.766502,69.602501,69.602501,204624000,AMZN
2018-04-04,67.912003,70.769501,67.643997,70.528503,70.528503,139646000,AMZN
2018-04-05,72.099503,72.977997,71.3535,72.587502,72.587502,128270000,AMZN
2018-04-06,71.498497,72.625,70.013,70.261497,70.261497,117646000,AMZN
2018-04-09,71.251503,71.924004,70.128502,70.304001,70.304001,84164000,AMZN
2018-04-10,71.599503,71.918999,70.785004,71.810997,71.810997,85082000,AMZN
2018-04-11,71.972,72.439003,71.244499,71.352501,71.352501,71650000,AMZN
2018-04-12,71.974998,72.606003,71.752998,72.425003,72.425003,62700000,AMZN
2018-04-13,72.457001,72.988998,71.225998,71.539497,71.539497,73706000,AMZN
2018-04-16,72.25,72.349998,71.374001,72.074997,72.074997,56172000,AMZN
2018-04-17,73.114998,75.359497,72.850998,75.191498,75.191498,102288000,AMZN
2018-04-18,75.732498,76.690002,75.205498,76.391998,76.391998,104550000,AMZN
2018-04-19,77.161003,78.426003,76.953003,77.845497,77.845497,130474000,AMZN
2018-04-20,78.059998,78.059998,75.804497,76.374496,76.374496,110832000,AMZN
2018-04-23,77.334503,77.400002,75.170502,75.892998,75.892998,89308000,AMZN
2018-04-24,76.790001,76.974998,72.422501,73.004501,73.004501,149894000,AMZN
2018-04-25,72.900002,73.499496,70.750999,73.008499,73.008499,131746000,AMZN
2018-04-26,74.250504,76.471001,73.925003,75.898003,75.898003,176022000,AMZN
2018-04-27,81.7005,81.904999,78.369499,78.630997,78.630997,261064000,AMZN
2018-04-30,79.125,79.800003,78.046997,78.306503,78.306503,109282000,AMZN
2018-05-01,78.161003,79.25,77.609001,79.112999,79.112999,91442000,AMZN
2018-05-02,79.049004,79.425003,78.318001,78.484001,78.484001,87206000,AMZN
2018-05-03,78.000504,78.739998,77.301003,78.603996,78.603996,85038000,AMZN
2018-05-04,78.122498,79.245003,78.109497,79.047501,79.047501,68872000,AMZN
2018-05-07,79.467003,80.347504,79.391502,80.007004,80.007004,76038000,AMZN
2018-05-08,79.75,79.844002,79.125504,79.619499,79.619499,61358000,AMZN
2018-05-09,80,80.400002,79.599998,80.400002,80.400002,72746000,AMZN
2018-05-10,80.424004,80.779999,80.171997,80.454002,80.454002,56350000,AMZN
